year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1994,CHI,1993-10-16,A,Winnipeg Jets,0,1,L,OT,33,12,0,,0,33,14,0,,0,,,,,,,,,,,
1994,CHI,1993-10-18,H,Dallas Stars,3,5,L,,37,31,0,,0,29,20,1,,0,,,,,,,,,,,
1989,CHI,1988-10-25,A,Quebec Nordiques,7,4,W,,37,21,1,,0,46,15,4,,0,,,,,,,,,,,
1989,CHI,1988-10-28,A,Vancouver Canucks,2,5,L,,28,36,2,,0,34,24,4,,0,,,,,,,,,,,
1987,CHI,1986-11-05,H,Minnesota North Stars,4,2,W,,44,21,0,,0,29,19,2,,0,,,,,,,,,,,
1987,CHI,1986-11-08,A,Washington Capitals,2,3,L,,27,25,0,,0,26,19,1,,0,,,,,,,,,,,
1993,CHI,1992-10-22,H,New Jersey Devils,5,6,L,OT,34,50,1,,0,37,21,4,,0,,,,,,,,,,,
1993,CHI,1992-10-25,H,Detroit Red Wings,8,2,W,,47,12,2,,0,25,16,1,,0,,,,,,,,,,,
1996,CHI,1995-10-15,H,Calgary Flames,1,1,T,OT,25,17,0,,0,25,19,0,,0,,,,,,,,,,,
1996,CHI,1995-10-17,A,Florida Panthers,6,3,W,,26,18,1,,0,27,10,1,,0,,,,,,,,,,,
1988,CHI,1987-11-15,H,Edmonton Oilers,5,4,W,,31,22,4,,0,38,36,1,,0,,,,,,,,,,,
1988,CHI,1987-11-18,H,Minnesota North Stars,5,2,W,,48,39,1,,0,31,51,0,,0,,,,,,,,,,,
2002,CHI,2001-10-04,A,Vancouver Canucks,5,4,W,,33,15,1,,0,27,17,1,,0,,,,,,,,,,,
2001,CHI,2000-10-05,A,Buffalo Sabres,2,4,L,,21,24,1,,0,30,21,0,,0,,,,,,,,,,,
2000,CHI,1999-10-08,H,Phoenix Coyotes,3,3,T,OT,27,8,0,,0,22,22,0,,0,,,,,,,,,,,
2000,CHI,1999-10-10,H,Nashville Predators,3,3,T,OT,28,13,0,,0,25,15,0,,0,,,,,,,,,,,
1990,CHI,1989-10-19,H,Quebec Nordiques,3,5,L,,34,28,1,,0,34,24,1,,0,,,,,,,,,,,
1990,CHI,1989-10-20,A,Winnipeg Jets,4,2,W,,21,10,0,,1,24,8,1,,0,,,,,,,,,,,
1995,CHI,1995-01-29,A,Los Angeles Kings,6,3,W,,42,20,1,,0,27,16,1,,0,,,,,,,,,,,
1995,CHI,1995-01-30,A,San Jose Sharks,1,2,L,,31,15,0,,0,14,9,1,,0,,,,,,,,,,,
1999,CHI,1998-10-19,A,Montreal Canadiens,2,1,W,,20,24,0,,0,27,20,1,,0,,,,,,,,,,,
1999,CHI,1998-10-22,H,San Jose Sharks,2,2,T,OT,33,34,1,,0,25,23,0,,0,,,,,,,,,,,
1998,CHI,1997-10-15,H,Washington Capitals,0,2,L,,30,16,0,,0,23,16,0,,0,,,,,,,,,,,
