year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1996,SJS,1995-11-02,H,New Jersey Devils,3,3,T,OT,25,38,0,,0,38,42,1,,0,,,,,,,,,,,
1994,SJS,1993-10-28,H,Mighty Ducks of Anaheim,4,3,W,,24,6,0,,1,31,6,1,,0,,,,,,,,,,,
1994,SJS,1993-10-30,H,Washington Capitals,2,4,L,,27,16,1,,0,28,24,1,,0,,,,,,,,,,,
1999,SJS,1998-10-24,A,Dallas Stars,1,2,L,,17,10,1,,0,24,10,2,,0,,,,,,,,,,,
1999,SJS,1998-10-28,H,Phoenix Coyotes,2,4,L,,26,12,1,,0,23,22,0,,0,,,,,,,,,,,
2004,SJS,2003-10-09,A,Edmonton Oilers,2,5,L,,21,24,1,,0,28,10,2,,0,,,,,,,,,,,
1993,SJS,1992-10-26,A,St. Louis Blues,1,4,L,,24,35,0,,0,28,21,1,,1,,,,,,,,,,,
1993,SJS,1992-10-28,A,Detroit Red Wings,3,4,L,,15,27,1,,1,36,15,3,,0,,,,,,,,,,,
2002,SJS,2001-10-06,H,Minnesota Wild,0,0,T,OT,36,10,0,,0,19,12,,,,,,,,,,,,,,
2001,SJS,2000-10-12,H,Phoenix Coyotes,2,1,W,,16,6,0,,0,26,10,0,,0,,,,,,,,,,,
2006,SJS,2005-10-05,A,Nashville Predators,2,3,L,,24,6,0,,1,25,12,0,,0,,,,,,,,,,,
1997,SJS,1996-10-12,H,Boston Bruins,3,5,L,,20,22,1,,0,34,30,0,,0,,,,,,,,,,,
1997,SJS,1996-10-16,H,Florida Panthers,3,3,T,OT,21,16,1,,0,34,30,0,,0,,,,,,,,,,,
2007,SJS,2006-10-05,H,St. Louis Blues,5,4,W,OT,35,6,2,,0,35,14,0,,0,,,,,,,,,,,
1995,SJS,1995-02-07,A,Detroit Red Wings,0,6,L,,16,38,0,,0,29,15,2,,0,,,,,,,,,,,
1995,SJS,1995-02-10,A,Edmonton Oilers,1,5,L,,21,26,0,,0,26,11,0,,1,,,,,,,,,,,
2000,SJS,1999-10-09,H,Dallas Stars,2,3,L,,26,8,0,,0,33,6,1,,0,,,,,,,,,,,
2000,SJS,1999-10-11,A,Mighty Ducks of Anaheim,3,5,L,,25,10,0,,0,38,4,2,,0,,,,,,,,,,,
2003,SJS,2002-10-19,H,Colorado Avalanche,1,3,L,,22,18,1,,0,39,14,1,,0,,,,,,,,,,,
2003,SJS,2002-10-21,H,Vancouver Canucks,2,5,L,,32,10,2,,0,35,14,0,,1,,,,,,,,,,,
1998,SJS,1997-10-16,H,New York Islanders,2,5,L,,34,18,0,,0,25,16,2,,0,,,,,,,,,,,
1998,SJS,1997-10-19,A,Phoenix Coyotes,3,5,L,,31,6,0,,0,22,8,0,,0,,,,,,,,,,,
1992,SJS,1991-11-08,H,Edmonton Oilers,6,2,W,,33,31,2,,0,32,50,1,,1,,,,,,,,,,,
1992,SJS,1991-11-09,H,New York Islanders,4,3,W,,32,38,1,,0,27,32,0,,0,,,,,,,,,,,
1996,SJS,1995-11-04,H,St. Louis Blues,7,3,W,,28,15,3,,0,20,30,3,,0,,,,,,,,,,,
1996,SJS,1995-11-07,A,Hartford Whalers,3,7,L,,28,20,1,,0,41,32,2,,0,,,,,,,,,,,
1994,SJS,1993-10-31,A,Mighty Ducks of Anaheim,2,1,W,OT,22,19,0,,0,31,19,1,,0,,,,,,,,,,,
1994,SJS,1993-11-02,H,Pittsburgh Penguins,3,3,T,OT,30,18,0,,0,38,12,1,,0,,,,,,,,,,,
1999,SJS,1998-10-29,A,Colorado Avalanche,2,4,L,,23,15,1,,0,30,19,1,,1,,,,,,,,,,,
1999,SJS,1998-10-31,H,Tampa Bay Lightning,6,1,W,,31,27,1,,0,21,35,1,,0,,,,,,,,,,,
2004,SJS,2003-10-11,A,Calgary Flames,2,3,L,,19,14,1,,0,20,8,2,,0,,,,,,,,,,,
2004,SJS,2003-10-12,A,Minnesota Wild,3,2,W,,28,20,2,,0,25,24,0,,0,,,,,,,,,,,
1993,SJS,1992-10-30,A,Tampa Bay Lightning,2,1,W,,25,18,0,,0,39,20,0,,0,,,,,,,,,,,
1993,SJS,1992-11-01,A,Chicago Blackhawks,4,4,T,OT,34,20,2,,0,44,22,3,,1,,,,,,,,,,,
2010,SJS,2009-10-01,A,Colorado Avalanche,2,5,L,,40,13,1,,0,20,17,1,,0,51,23,68.9,40,19,67.8,19,10,65.5,64.7,75.3
2002,SJS,2001-10-11,H,Tampa Bay Lightning,4,3,W,,38,6,2,,0,27,12,1,,0,,,,,,,,,,,
2002,SJS,2001-10-13,H,Boston Bruins,3,2,W,,28,10,1,,0,25,22,0,,1,,,,,,,,,,,
2001,SJS,2000-10-14,H,Boston Bruins,5,2,W,,31,21,0,,2,23,21,0,,1,,,,,,,,,,,
2001,SJS,2000-10-18,A,Dallas Stars,1,2,L,,13,12,1,,0,25,8,0,,0,,,,,,,,,,,
2006,SJS,2005-10-07,A,Chicago Blackhawks,3,6,L,,24,36,2,,0,26,38,3,,0,,,,,,,,,,,
2006,SJS,2005-10-08,A,St. Louis Blues,7,6,W,,39,16,1,,0,26,8,3,,0,,,,,,,,,,,
1997,SJS,1996-10-18,A,Mighty Ducks of Anaheim,4,1,W,,37,21,1,,3,29,19,0,,0,,,,,,,,,,,
1997,SJS,1996-10-20,A,St. Louis Blues,3,2,W,,28,12,1,,0,27,12,1,,0,,,,,,,,,,,
2007,SJS,2006-10-07,H,New York Islanders,2,0,W,,27,12,2,,0,26,14,,,,,,,,,,,,,,
2007,SJS,2006-10-09,A,Calgary Flames,4,1,W,,26,20,2,,0,30,14,1,,0,,,,,,,,,,,
1995,SJS,1995-02-11,A,Vancouver Canucks,1,1,T,OT,24,4,0,,0,28,6,0,,0,,,,,,,,,,,
1995,SJS,1995-02-15,H,Vancouver Canucks,3,1,W,,30,56,1,,0,37,32,1,,0,,,,,,,,,,,
1995,SJS,1995-02-17,A,Los Angeles Kings,2,0,W,,19,17,0,,1,37,15,,,,,,,,,,,,,,
2000,SJS,1999-10-13,A,Dallas Stars,2,0,W,,24,8,0,,0,35,4,,,,,,,,,,,,,,
2000,SJS,1999-10-14,A,Nashville Predators,5,1,W,,23,14,1,,1,52,10,1,,0,,,,,,,,,,,
2003,SJS,2002-10-24,A,Nashville Predators,2,1,W,,34,19,0,,0,21,17,1,,0,,,,,,,,,,,
2003,SJS,2002-10-25,A,Columbus Blue Jackets,5,4,W,,38,8,1,,0,24,10,2,,0,,,,,,,,,,,
1998,SJS,1997-10-22,H,Pittsburgh Penguins,2,5,L,,22,19,0,,0,26,9,0,,0,,,,,,,,,,,
1998,SJS,1997-10-25,A,New Jersey Devils,4,3,W,,22,29,2,,0,24,19,3,,0,,,,,,,,,,,
1998,SJS,1997-10-27,A,New York Islanders,2,1,W,,22,10,0,,0,18,10,1,,0,,,,,,,,,,,
1992,SJS,1991-11-12,H,Buffalo Sabres,1,7,L,,42,30,1,,0,30,39,0,,0,,,,,,,,,,,
1996,SJS,1995-11-08,A,Buffalo Sabres,2,7,L,,32,12,0,,0,41,14,3,,0,,,,,,,,,,,
1996,SJS,1995-11-10,H,Pittsburgh Penguins,1,9,L,,22,29,1,,0,38,33,2,,1,,,,,,,,,,,
1994,SJS,1993-11-05,H,Dallas Stars,4,2,W,,24,4,0,,0,20,8,1,,0,,,,,,,,,,,
