year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2018,ARI,2017-10-21,H,Chicago Blackhawks,2,4,L,,29,8,0,5,0,29,12,1,2,0,54,59,47.8,42,43,49.4,35,33,51.5,31.9,96.9
2019,ARI,2018-10-30,H,Ottawa Senators,5,1,W,,35,10,1,2,1,26,6,0,4,0,54,49,52.4,42,39,51.9,25,16,61.0,52.2,104.6
2019,ARI,2018-11-02,H,Carolina Hurricanes,4,3,W,OT,25,12,1,3,1,51,6,0,6,0,35,75,31.8,27,55,32.9,24,26,48.0,49.4,103.4
2016,ARI,2015-10-22,A,New York Rangers,1,4,L,,35,6,0,3,0,27,6,1,3,0,42,42,50.0,38,28,57.6,18,36,33.3,48.5,91.1
2016,ARI,2015-10-24,A,Ottawa Senators,4,1,W,,26,6,0,2,0,36,4,0,3,0,39,59,39.8,29,48,37.7,24,27,47.1,51.4,115.0
2015,ARI,2014-11-07,A,Anaheim Ducks,3,2,W,SO,25,8,0,,0,39,6,1,,0,45,68,39.8,33,52,38.8,29,25,53.7,60.6,105.8
2015,ARI,2014-11-08,H,New York Islanders,0,1,L,,19,6,0,,0,33,10,0,,0,26,51,33.8,14,38,26.9,17,22,43.6,41.7,95.7
2017,ARI,2016-11-12,H,Boston Bruins,1,2,L,,32,5,1,3,0,29,11,0,0,0,50,60,45.5,42,43,49.4,20,40,33.3,51.2,92.9
2018,ARI,2017-10-24,A,New York Islanders,3,5,L,,35,6,1,3,0,25,6,1,3,0,51,44,53.7,38,28,57.6,39,27,59.1,55.6,89.0
2019,ARI,2018-11-05,H,Philadelphia Flyers,2,5,L,,36,16,1,4,0,34,16,1,3,0,68,40,63.0,46,28,62.2,22,23,48.9,72.4,86.6
2016,ARI,2015-10-26,A,Toronto Maple Leafs,4,3,W,,24,6,2,4,0,27,10,0,2,0,33,51,39.3,26,37,41.3,32,22,59.3,33.7,95.5
2016,ARI,2015-10-27,A,Boston Bruins,0,6,L,,24,28,0,3,0,27,4,1,4,0,47,39,54.7,31,32,49.2,29,27,51.8,57.3,77.3
2015,ARI,2014-11-11,H,Dallas Stars,3,4,L,,37,18,0,,0,32,22,1,,1,54,42,56.3,36,29,55.4,24,26,48.0,55.9,103.5
2015,ARI,2014-11-13,A,Calgary Flames,3,5,L,,23,13,1,,0,25,9,0,,0,48,41,53.9,32,30,51.6,28,28,50.0,59.9,81.7
2017,ARI,2016-11-16,A,Calgary Flames,1,2,L,OT,21,8,0,3,0,24,6,0,3,0,30,59,33.7,26,34,43.3,23,33,41.1,39.7,95.6
2018,ARI,2017-10-26,A,New York Rangers,2,5,L,,29,11,1,3,0,30,13,0,2,0,42,52,44.7,30,40,42.9,18,30,37.5,60.6,86.3
2019,ARI,2018-11-08,A,Philadelphia Flyers,4,5,L,OT,34,8,1,2,2,31,4,0,4,0,44,63,41.1,33,44,42.9,15,25,37.5,55.0,86.2
2016,ARI,2015-10-30,H,Vancouver Canucks,3,4,L,,31,8,0,2,0,22,4,1,4,0,51,28,64.6,39,24,61.9,29,15,65.9,69.0,92.8
2015,ARI,2014-11-14,A,Vancouver Canucks,5,0,W,,23,13,1,,0,35,15,,,,36,55,39.6,29,36,44.6,31,24,56.4,37.2,121.1
2017,ARI,2016-11-17,A,Vancouver Canucks,2,3,L,OT,36,4,1,2,0,42,4,1,2,0,50,61,45.0,37,48,43.5,25,42,37.3,33.3,100.3
2017,ARI,2016-11-19,H,San Jose Sharks,3,2,W,OT,26,7,1,4,0,45,13,0,3,0,37,72,33.9,25,60,29.4,30,29,50.8,31.1,104.8
2018,ARI,2017-10-28,A,New Jersey Devils,3,4,L,,37,4,1,5,0,25,10,2,2,1,52,37,58.4,38,28,57.6,33,27,55.0,58.1,101.9
2019,ARI,2018-11-10,A,Pittsburgh Penguins,0,4,L,,39,6,0,4,0,32,10,0,2,0,68,44,60.7,47,34,58.0,27,29,48.2,47.7,86.7
2016,ARI,2015-11-05,H,Colorado Avalanche,4,2,W,,28,10,0,6,0,28,12,0,5,0,32,45,41.6,24,34,41.4,19,27,41.3,46.1,113.5
2015,ARI,2014-11-16,A,Edmonton Oilers,2,1,W,,28,8,1,,0,34,8,1,,0,45,44,50.6,29,30,49.2,29,30,49.2,56.4,104.3
2017,ARI,2016-11-23,H,Vancouver Canucks,1,4,L,,36,4,0,2,0,27,4,0,2,0,63,38,62.4,54,32,62.8,24,30,44.4,69.4,84.9
2018,ARI,2017-10-30,A,Philadelphia Flyers,4,3,W,OT,34,6,1,3,0,31,10,1,1,0,47,55,46.1,37,43,46.3,27,35,43.5,41.3,103.6
2018,ARI,2017-10-31,A,Detroit Red Wings,3,5,L,,33,2,0,2,0,40,2,0,1,0,52,61,46.0,39,51,43.3,27,33,45.0,41.0,96.8
2019,ARI,2018-11-11,A,Washington Capitals,4,1,W,,22,4,2,6,0,39,12,0,2,0,38,49,43.7,27,42,39.1,24,27,47.1,32.4,110.1
2016,ARI,2015-11-07,H,New York Rangers,1,4,L,,40,8,1,4,0,30,8,1,4,0,51,34,60.0,36,30,54.5,27,17,61.4,63.3,85.0
2015,ARI,2014-11-18,H,Washington Capitals,1,2,L,OT,24,6,0,,0,24,8,0,,0,36,36,50.0,25,24,51.0,24,20,54.5,31.4,94.8
2017,ARI,2016-11-25,H,Edmonton Oilers,3,2,W,SO,41,6,0,3,0,34,6,0,3,0,47,54,46.5,39,45,46.4,28,26,51.9,47.6,99.0
2018,ARI,2017-11-02,H,Buffalo Sabres,4,5,L,,29,4,0,2,0,31,4,0,2,1,60,51,54.1,44,39,53.0,23,24,48.9,35.3,101.5
2019,ARI,2018-11-13,A,Detroit Red Wings,1,6,L,,25,10,0,5,0,26,12,1,4,0,47,37,56.0,33,27,55.0,27,27,50.0,62.0,83.9
2016,ARI,2015-11-09,A,Anaheim Ducks,4,3,W,OT,28,8,1,5,0,36,10,1,4,0,40,45,47.1,31,38,44.9,21,15,58.3,47.4,106.9
2016,ARI,2015-11-10,A,Los Angeles Kings,3,2,W,,25,4,0,3,0,35,4,1,2,0,36,62,36.7,28,46,37.8,24,23,51.1,31.3,112.7
2015,ARI,2014-11-20,A,Dallas Stars,1,3,L,,27,4,1,,0,27,4,0,,0,45,51,46.9,32,44,42.1,34,25,57.6,44.7,88.0
2015,ARI,2014-11-20,A,Dallas Stars,1,3,L,,27,4,1,,0,27,4,0,,0,45,51,46.9,32,44,42.1,34,25,57.6,44.7,88.0
2017,ARI,2016-11-27,A,Edmonton Oilers,2,1,W,,23,8,0,2,0,42,6,0,3,0,39,61,39.0,25,49,33.8,28,22,56.0,23.5,107.2
2018,ARI,2017-11-04,H,Carolina Hurricanes,2,1,W,SO,24,6,0,2,0,37,4,0,3,0,45,67,40.2,34,46,42.5,24,25,49.0,42.2,101.5
2019,ARI,2018-11-15,H,Nashville Predators,2,1,W,,24,10,0,2,1,45,4,0,5,0,40,62,39.2,32,47,40.5,19,31,38.0,31.6,101.7
2019,ARI,2018-11-17,H,Boston Bruins,1,2,L,,33,4,0,4,0,23,8,0,2,0,45,39,53.6,32,28,53.3,27,13,67.5,48.4,95.0
2016,ARI,2015-11-12,H,Edmonton Oilers,4,1,W,,21,8,1,3,0,28,6,0,4,0,28,44,38.9,20,30,40.0,27,18,60.0,37.9,117.1
2015,ARI,2014-11-22,A,San Jose Sharks,4,3,W,SO,25,8,1,,0,43,4,1,,1,43,69,38.4,26,45,36.6,24,36,40.0,44.8,106.0
2017,ARI,2016-11-27,A,Edmonton Oilers,2,1,W,,23,8,0,2,0,42,6,0,3,0,39,61,39.0,25,49,33.8,28,22,56.0,23.5,107.2
2017,ARI,2016-11-29,A,San Jose Sharks,1,2,L,OT,19,16,0,2,0,42,6,1,2,0,35,56,38.5,24,47,33.8,16,24,40.0,30.8,103.5
2018,ARI,2017-11-06,A,Washington Capitals,2,3,L,OT,26,17,0,3,0,40,11,1,6,0,40,51,44.0,30,41,42.3,17,28,37.8,39.1,102.9
2019,ARI,2018-11-21,H,Vegas Golden Knights,2,3,L,OT,21,4,1,3,0,25,6,0,2,0,38,52,42.2,28,34,45.2,27,23,54.0,51.0,92.8
2019,ARI,2018-11-21,H,Vegas Golden Knights,2,3,L,OT,21,4,1,3,0,25,6,0,2,0,38,52,42.2,28,34,45.2,27,23,54.0,51.0,92.8
2019,ARI,2018-11-23,H,Colorado Avalanche,1,5,L,,38,10,1,3,0,39,6,1,5,2,51,59,46.4,39,43,47.6,27,25,51.9,51.3,92.6
2016,ARI,2015-11-14,A,Columbus Blue Jackets,2,5,L,,29,38,0,5,0,21,30,2,4,0,46,21,68.7,35,19,64.8,30,25,54.5,73.3,85.3
2015,ARI,2014-11-23,A,Anaheim Ducks,1,2,L,,27,4,0,,0,30,6,0,,0,46,55,45.5,36,43,45.6,31,21,59.6,42.9,96.8
2015,ARI,2014-11-25,H,Colorado Avalanche,3,4,L,OT,33,9,0,,0,35,7,0,,0,51,53,49.0,44,39,53.0,25,29,46.3,62.4,96.6
2017,ARI,2016-12-01,H,Los Angeles Kings,3,4,L,,32,24,2,6,0,33,14,0,6,0,34,50,40.5,28,37,43.1,22,27,44.9,40.2,89.3
2018,ARI,2017-11-07,A,Pittsburgh Penguins,1,3,L,,25,10,0,1,0,37,2,1,6,0,49,40,55.1,28,36,43.8,25,28,47.2,40.0,97.1
2019,ARI,2018-11-25,H,Calgary Flames,1,6,L,,29,10,0,4,0,27,8,1,5,3,47,37,56.0,36,26,58.1,18,28,39.1,63.7,92.1
2019,ARI,2018-11-27,A,Minnesota Wild,4,3,W,,14,4,0,1,0,25,2,1,2,0,30,48,38.5,18,36,33.3,23,29,44.2,28.1,127.7
2016,ARI,2015-11-16,A,New York Islanders,2,5,L,,33,8,1,3,0,32,6,1,4,0,43,50,46.2,35,32,52.2,24,19,55.8,46.2,89.2
2016,ARI,2015-11-19,A,Montreal Canadiens,3,2,W,,20,10,1,2,0,33,4,0,5,0,46,60,43.4,34,42,44.7,29,25,53.7,44.2,104.0
2015,ARI,2014-11-29,H,Calgary Flames,0,3,L,,26,6,0,,0,29,2,1,,0,57,44,56.4,33,28,54.1,29,15,65.9,54.8,91.3
