year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1970,LAK,1969-11-08,H,New York Rangers,1,4,L,,26,8,0,,1,31,6,0,,0,,,,,,,,,,,
1974,LAK,1973-10-16,A,New York Islanders,4,4,T,,18,4,1,,0,26,6,0,,0,,,,,,,,,,,
1969,LAK,1968-11-02,H,Pittsburgh Penguins,3,2,W,,36,6,1,,0,20,6,2,,0,,,,,,,,,,,
1977,LAK,1976-10-07,A,Atlanta Flames,2,4,L,,32,17,0,,0,26,15,0,,0,,,,,,,,,,,
1978,LAK,1977-10-15,H,Detroit Red Wings,4,2,W,,28,19,1,,0,23,15,1,,0,,,,,,,,,,,
1980,LAK,1979-10-13,H,St. Louis Blues,5,3,W,,28,34,0,,0,27,42,2,,0,,,,,,,,,,,
1983,LAK,1982-10-06,H,Vancouver Canucks,3,3,T,,37,8,2,,0,24,10,1,,0,,,,,,,,,,,
1973,LAK,1972-10-14,A,Toronto Maple Leafs,4,6,L,,23,6,1,,1,42,10,0,,0,,,,,,,,,,,
1982,LAK,1981-10-07,H,New York Islanders,1,4,L,,32,8,0,,0,25,18,1,,1,,,,,,,,,,,
1976,LAK,1975-10-17,A,Vancouver Canucks,5,3,W,,29,25,2,,0,21,32,1,,0,,,,,,,,,,,
1976,LAK,1975-10-18,H,California Golden Seals,5,3,W,,22,12,2,,0,27,20,1,,0,,,,,,,,,,,
1972,LAK,1971-10-23,H,Montreal Canadiens,1,3,L,,33,10,0,,1,25,8,0,,0,,,,,,,,,,,
1972,LAK,1971-10-24,H,Minnesota North Stars,3,6,L,,23,12,0,,0,30,10,3,,0,,,,,,,,,,,
1975,LAK,1974-10-16,A,Toronto Maple Leafs,1,1,T,,21,25,1,,0,38,9,1,,0,,,,,,,,,,,
1979,LAK,1978-10-20,A,Washington Capitals,6,4,W,,22,16,1,,0,33,14,1,,0,,,,,,,,,,,
1979,LAK,1978-10-22,A,Montreal Canadiens,4,8,L,,20,21,0,,1,42,19,2,,0,,,,,,,,,,,
1971,LAK,1970-10-29,A,Philadelphia Flyers,1,3,L,,35,8,0,,0,36,8,0,,0,,,,,,,,,,,
1971,LAK,1970-10-31,A,St. Louis Blues,0,3,L,,17,13,0,,0,38,15,0,,1,,,,,,,,,,,
1968,LAK,1967-11-22,H,Oakland Seals,3,1,W,,28,6,0,,0,16,4,0,,0,,,,,,,,,,,
1968,LAK,1967-11-24,H,Pittsburgh Penguins,5,3,W,,28,18,1,,0,26,6,0,,0,,,,,,,,,,,
1970,LAK,1969-11-10,H,Montreal Canadiens,3,6,L,,28,6,0,,0,38,2,0,,0,,,,,,,,,,,
1970,LAK,1969-11-15,A,Pittsburgh Penguins,1,3,L,,29,21,1,,0,39,13,0,,0,,,,,,,,,,,
1974,LAK,1973-10-18,A,Buffalo Sabres,2,6,L,,20,8,0,,0,33,12,1,,1,,,,,,,,,,,
1974,LAK,1973-10-20,H,Philadelphia Flyers,3,0,W,,32,54,0,,0,18,76,,,,,,,,,,,,,,
1969,LAK,1968-11-06,H,New York Rangers,2,0,W,,37,4,1,,0,32,2,0,,0,,,,,,,,,,,
1969,LAK,1968-11-09,H,Toronto Maple Leafs,3,1,W,,31,6,0,,0,26,8,0,,0,,,,,,,,,,,
1984,LAK,1983-10-05,H,Minnesota North Stars,3,3,T,OT,26,20,2,,0,29,24,1,,0,,,,,,,,,,,
1981,LAK,1980-10-11,H,Detroit Red Wings,8,1,W,,31,93,3,,0,19,109,1,,0,,,,,,,,,,,
1985,LAK,1984-10-11,H,Edmonton Oilers,2,2,T,OT,29,6,2,,0,27,14,0,,0,,,,,,,,,,,
1977,LAK,1976-10-09,A,Pittsburgh Penguins,7,4,W,,30,14,0,,1,34,2,1,,0,,,,,,,,,,,
1988,LAK,1987-10-08,H,New York Islanders,1,4,L,,20,25,0,,1,24,19,1,,0,,,,,,,,,,,
1978,LAK,1977-10-18,A,New York Islanders,0,0,T,,28,19,0,,0,41,15,,,,,,,,,,,,,,
1978,LAK,1977-10-19,A,Cleveland Barons,1,3,L,,28,6,1,,0,32,6,0,,0,,,,,,,,,,,
1980,LAK,1979-10-16,A,Washington Capitals,6,8,L,,38,8,3,,0,29,20,3,,0,,,,,,,,,,,
1980,LAK,1979-10-17,A,Pittsburgh Penguins,5,4,W,,29,10,2,,0,40,10,1,,0,,,,,,,,,,,
1983,LAK,1982-10-09,H,Calgary Flames,3,1,W,,37,10,3,,0,18,14,0,,0,,,,,,,,,,,
1983,LAK,1982-10-12,A,Winnipeg Jets,5,3,W,,39,8,1,,0,40,6,2,,0,,,,,,,,,,,
1973,LAK,1972-10-15,A,Detroit Red Wings,2,8,L,,22,10,0,,0,31,8,1,,1,,,,,,,,,,,
1973,LAK,1972-10-18,H,Philadelphia Flyers,3,4,L,,37,29,1,,0,36,19,1,,1,,,,,,,,,,,
1982,LAK,1981-10-10,H,Edmonton Oilers,4,7,L,,38,14,1,,0,35,18,2,,0,,,,,,,,,,,
1982,LAK,1981-10-13,H,Calgary Flames,4,3,W,,47,2,2,,0,30,8,0,,0,,,,,,,,,,,
1976,LAK,1975-10-21,A,St. Louis Blues,1,6,L,,24,8,1,,0,34,18,3,,1,,,,,,,,,,,
1976,LAK,1975-10-22,A,Chicago Black Hawks,5,3,W,,19,12,0,,0,33,8,1,,0,,,,,,,,,,,
1972,LAK,1971-10-27,H,Buffalo Sabres,2,3,L,,33,15,0,,0,22,15,1,,0,,,,,,,,,,,
1972,LAK,1971-10-30,H,Chicago Black Hawks,1,5,L,,19,15,1,,0,34,21,0,,0,,,,,,,,,,,
1975,LAK,1974-10-19,H,Kansas City Scouts,3,0,W,,30,12,2,,0,19,8,,,,,,,,,,,,,,
1975,LAK,1974-10-22,H,Philadelphia Flyers,2,4,L,,26,4,1,,0,34,12,0,,0,,,,,,,,,,,
1979,LAK,1978-10-24,A,Atlanta Flames,2,7,L,,21,8,1,,0,34,10,2,,0,,,,,,,,,,,
1971,LAK,1970-11-01,H,Buffalo Sabres,4,2,W,,42,15,0,,0,25,17,1,,0,,,,,,,,,,,
1971,LAK,1970-11-04,H,Toronto Maple Leafs,3,2,W,,33,12,3,,0,32,18,0,,1,,,,,,,,,,,
1968,LAK,1967-11-26,A,Philadelphia Flyers,2,7,L,,27,4,1,,0,32,4,1,,0,,,,,,,,,,,
1968,LAK,1967-11-26,A,Philadelphia Flyers,2,7,L,,27,4,1,,0,32,4,1,,0,,,,,,,,,,,
1968,LAK,1967-11-29,A,St. Louis Blues,2,3,L,,29,18,0,,0,31,8,0,,0,,,,,,,,,,,
1970,LAK,1969-11-16,A,Boston Bruins,4,7,L,,32,6,3,,0,40,10,1,,0,,,,,,,,,,,
1970,LAK,1969-11-19,A,Toronto Maple Leafs,4,4,T,,35,8,0,,0,58,4,0,,0,,,,,,,,,,,
1974,LAK,1973-10-24,H,Atlanta Flames,6,4,W,,32,13,1,,0,35,11,1,,0,,,,,,,,,,,
1986,LAK,1985-10-10,H,Vancouver Canucks,5,6,L,,37,15,0,,0,34,21,2,,0,,,,,,,,,,,
1987,LAK,1986-10-09,H,St. Louis Blues,3,4,L,,31,10,1,,0,20,16,1,,0,,,,,,,,,,,
1969,LAK,1968-11-12,H,Oakland Seals,3,1,W,,33,17,0,,0,31,15,0,,0,,,,,,,,,,,
1984,LAK,1983-10-08,H,Toronto Maple Leafs,3,6,L,,25,13,1,,0,29,14,2,,0,,,,,,,,,,,
1981,LAK,1980-10-14,A,Calgary Flames,2,4,L,,27,12,1,,0,30,18,1,,0,,,,,,,,,,,
1985,LAK,1984-10-13,H,Vancouver Canucks,5,6,L,OT,45,36,1,,1,35,38,1,,0,,,,,,,,,,,
1985,LAK,1984-10-14,H,St. Louis Blues,2,5,L,,26,11,0,,0,24,17,1,,0,,,,,,,,,,,
1977,LAK,1976-10-10,A,Philadelphia Flyers,0,1,L,,18,91,0,,0,23,106,0,,0,,,,,,,,,,,
1988,LAK,1987-10-10,H,St. Louis Blues,4,2,W,,34,16,2,,0,22,18,0,,0,,,,,,,,,,,
1988,LAK,1987-10-11,H,Edmonton Oilers,2,9,L,,35,30,0,,0,40,24,5,,1,,,,,,,,,,,
1978,LAK,1977-10-22,H,Boston Bruins,3,4,L,,21,8,1,,0,27,10,0,,0,,,,,,,,,,,
1978,LAK,1977-10-25,A,Vancouver Canucks,1,3,L,,29,29,0,,0,19,33,2,,0,,,,,,,,,,,
1980,LAK,1979-10-19,A,Hartford Whalers,3,6,L,,21,6,1,,0,26,8,1,,0,,,,,,,,,,,
1980,LAK,1979-10-20,A,Boston Bruins,4,5,L,,22,11,0,,0,33,4,3,,0,,,,,,,,,,,
1983,LAK,1982-10-14,A,Quebec Nordiques,4,4,T,,33,33,3,,0,35,23,0,,1,,,,,,,,,,,
1983,LAK,1982-10-16,A,New York Islanders,1,4,L,,28,14,1,,0,32,18,2,,0,,,,,,,,,,,
1973,LAK,1972-10-21,H,Chicago Black Hawks,3,1,W,,20,12,2,,0,28,12,1,,0,,,,,,,,,,,
1973,LAK,1972-10-24,H,California Golden Seals,5,0,W,,35,4,2,,0,18,8,,,,,,,,,,,,,,
1982,LAK,1981-10-15,H,Colorado Rockies,10,2,W,,44,12,2,,1,29,8,0,,0,,,,,,,,,,,
1982,LAK,1981-10-17,H,Boston Bruins,4,5,L,,33,13,1,,0,35,17,1,,1,,,,,,,,,,,
1976,LAK,1975-10-24,A,Atlanta Flames,1,7,L,,16,8,1,,0,24,12,1,,0,,,,,,,,,,,
1972,LAK,1971-11-03,H,New York Rangers,1,7,L,,24,11,0,,0,36,25,0,,0,,,,,,,,,,,
1975,LAK,1974-10-24,H,Buffalo Sabres,7,2,W,,31,12,4,,0,55,8,1,,0,,,,,,,,,,,
1979,LAK,1978-10-26,H,Buffalo Sabres,6,0,W,,24,10,0,,0,18,2,,,,,,,,,,,,,,
1979,LAK,1978-10-28,H,Washington Capitals,5,1,W,,33,24,1,,0,31,24,0,,0,,,,,,,,,,,
1971,LAK,1970-11-07,H,New York Rangers,2,6,L,,36,6,1,,0,42,4,2,,0,,,,,,,,,,,
1968,LAK,1967-12-02,A,Montreal Canadiens,3,2,W,,28,12,0,,0,32,6,1,,0,,,,,,,,,,,
1970,LAK,1969-11-20,A,Philadelphia Flyers,2,3,L,,39,17,1,,0,41,29,1,,0,,,,,,,,,,,
1974,LAK,1973-10-27,H,Detroit Red Wings,2,3,L,,26,2,1,,0,30,4,1,,0,,,,,,,,,,,
1986,LAK,1985-10-12,H,New York Islanders,4,5,L,OT,31,30,0,,0,30,30,1,,0,,,,,,,,,,,
1986,LAK,1985-10-13,H,Calgary Flames,2,9,L,,26,27,1,,0,34,34,3,,0,,,,,,,,,,,
1987,LAK,1986-10-11,H,New York Islanders,5,4,W,,31,69,2,,0,39,56,2,,0,,,,,,,,,,,
