year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2004,DAL,2003-10-13,A,Buffalo Sabres,3,4,L,,21,18,2,,0,21,28,1,,0,,,,,,,,,,,
2002,DAL,2001-10-13,H,Calgary Flames,3,4,L,OT,37,16,1,,0,32,25,1,,1,,,,,,,,,,,
1999,DAL,1998-10-31,H,Detroit Red Wings,3,2,W,,33,26,0,,1,24,44,1,,0,,,,,,,,,,,
1999,DAL,1998-11-04,A,San Jose Sharks,0,4,L,,21,6,0,,0,9,14,1,,0,,,,,,,,,,,
1997,DAL,1996-10-30,H,Buffalo Sabres,2,0,W,,31,22,1,,0,24,38,,,,,,,,,,,,,,
1997,DAL,1996-11-01,H,Chicago Blackhawks,2,3,L,OT,29,11,0,,0,39,15,0,,0,,,,,,,,,,,
2003,DAL,2002-10-12,A,Phoenix Coyotes,5,2,W,,30,19,1,,0,24,19,2,,0,,,,,,,,,,,
2000,DAL,1999-10-16,A,Nashville Predators,2,3,L,,38,15,0,,0,27,9,1,,0,,,,,,,,,,,
2001,DAL,2000-10-18,H,San Jose Sharks,2,1,W,,25,8,0,,0,13,12,1,,0,,,,,,,,,,,
2001,DAL,2000-10-20,A,Chicago Blackhawks,5,1,W,,35,11,0,,0,18,15,0,,0,,,,,,,,,,,
1995,DAL,1995-02-18,A,Calgary Flames,2,3,L,OT,22,32,0,,0,35,34,1,,0,,,,,,,,,,,
1995,DAL,1995-02-20,A,Calgary Flames,2,1,W,,28,21,1,,0,26,15,0,,0,,,,,,,,,,,
1998,DAL,1997-10-18,A,Toronto Maple Leafs,5,4,W,,28,14,1,,1,25,10,2,,0,,,,,,,,,,,
1996,DAL,1995-10-30,H,Colorado Avalanche,1,6,L,,22,13,1,,0,30,17,2,,0,,,,,,,,,,,
1994,DAL,1993-11-05,A,San Jose Sharks,2,4,L,,20,8,1,,0,24,4,0,,0,,,,,,,,,,,
1994,DAL,1993-11-07,H,Winnipeg Jets,1,1,T,OT,39,14,1,,0,20,18,1,,0,,,,,,,,,,,
2004,DAL,2003-10-15,H,Boston Bruins,0,2,L,,27,8,0,,0,13,12,0,,0,,,,,,,,,,,
2004,DAL,2003-10-17,H,Washington Capitals,4,2,W,,18,22,1,,0,25,24,0,,0,,,,,,,,,,,
2002,DAL,2001-10-17,A,St. Louis Blues,2,2,T,OT,26,8,0,,0,32,6,2,,0,,,,,,,,,,,
1999,DAL,1998-11-07,A,Los Angeles Kings,4,3,W,,25,12,2,,0,23,12,1,,0,,,,,,,,,,,
1999,DAL,1998-11-11,H,Phoenix Coyotes,0,2,L,,38,8,0,,0,18,10,0,,0,,,,,,,,,,,
2006,DAL,2005-10-05,H,Los Angeles Kings,5,4,W,,30,17,2,,0,20,33,1,,0,,,,,,,,,,,
1997,DAL,1996-11-03,A,St. Louis Blues,3,6,L,,28,22,0,,0,25,20,2,,0,,,,,,,,,,,
1997,DAL,1996-11-06,A,Phoenix Coyotes,3,2,W,,27,15,2,,0,31,23,1,,0,,,,,,,,,,,
2003,DAL,2002-10-15,H,Edmonton Oilers,3,0,W,,18,16,1,,0,21,6,,,,,,,,,,,,,,
2000,DAL,1999-10-20,H,Edmonton Oilers,2,1,W,,24,6,0,,0,23,6,0,,0,,,,,,,,,,,
2000,DAL,1999-10-22,H,New Jersey Devils,2,1,W,OT,30,6,1,,0,25,12,0,,0,,,,,,,,,,,
2001,DAL,2000-10-21,H,Los Angeles Kings,4,3,W,,37,10,3,,0,27,14,0,,0,,,,,,,,,,,
2001,DAL,2000-10-25,H,Vancouver Canucks,2,6,L,,24,12,0,,0,25,14,1,,1,,,,,,,,,,,
1995,DAL,1995-02-22,A,Edmonton Oilers,1,2,L,,36,24,0,,0,28,14,1,,0,,,,,,,,,,,
1998,DAL,1997-10-19,A,Ottawa Senators,1,3,L,,19,22,0,,0,28,12,0,,0,,,,,,,,,,,
1996,DAL,1995-11-01,H,Chicago Blackhawks,1,1,T,OT,26,32,1,,0,33,33,0,,1,,,,,,,,,,,
1996,DAL,1995-11-04,A,Detroit Red Wings,1,5,L,,20,9,1,,0,29,17,1,,1,,,,,,,,,,,
1994,DAL,1993-11-09,A,Mighty Ducks of Anaheim,2,4,L,,27,10,1,,0,26,10,2,,0,,,,,,,,,,,
1994,DAL,1993-11-11,H,San Jose Sharks,4,0,W,,24,32,1,,0,20,45,,,,,,,,,,,,,,
