year,team,opp,date_game,player,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
2006,BUF,CAR,2006-05-20,Ryan Miller,W,2,31,29,.935,0,0,60:00
2010,CHI,CAR,2010-01-30,Cristobal Huet,L,4,24,20,.833,0,0,57:21
2002,MTL,CAR,2002-05-05,Jose Theodore,W,1,46,45,.978,0,0,59:53
2006,BUF,CAR,2006-05-22,Ryan Miller,L,4,35,31,.886,0,0,58:44
2012,MTL,CAR,2012-02-13,Carey Price,L,4,34,30,.882,0,0,58:15
2012,MTL,CAR,2012-02-13,Empty Net,,1,1,0,.000,0,0,
2001,CAR,NJD,2001-04-17,Arturs Irbe,L,4,24,20,.833,0,2,59:58
2009,BUF,CAR,2009-02-15,Patrick Lalime,,1,29,28,.966,0,0,40:00
2014,OTT,CAR,2014-01-25,Robin Lehner,L,5,22,17,.773,0,0,40:00
2014,OTT,CAR,2014-01-25,Craig Anderson,\,0,9,9,1.000,0,0,19:50
2014,OTT,CAR,2014-01-25,Empty Net,,1,1,0,.000,0,0,
2006,BUF,CAR,2006-05-24,Ryan Miller,W,3,27,24,.889,0,0,60:00
2011,TBL,CAR,2011-02-12,Dwayne Roloson,W,3,34,31,.912,0,0,61:32
2009,BUF,CAR,2009-02-15,Ryan Miller,L,2,18,16,.889,0,0,20:00
2011,PHI,CAR,2011-02-10,Brian Boucher,W,1,32,31,.969,0,0,59:58
2002,MTL,CAR,2002-05-03,Jose Theodore,L,2,38,36,.947,0,0,59:18
2002,NJD,CAR,2002-04-27,Martin Brodeur,L,1,22,21,.955,0,0,59:12
2001,NJD,CAR,2001-04-22,Martin Brodeur,W,1,15,14,.933,0,0,60:00
2010,NYI,CAR,2010-01-28,Rick DiPietro,L,3,22,19,.864,0,0,59:35
2010,NYI,CAR,2010-01-28,Empty Net,,1,1,0,.000,0,0,
2001,NJD,CAR,2001-04-20,Martin Brodeur,L,3,14,11,.786,0,0,58:25
2011,NJD,CAR,2011-02-08,Johan Hedberg,W,2,22,20,.909,0,0,62:42
2002,NJD,CAR,2002-04-24,Martin Brodeur,L,3,38,35,.921,0,0,68:16
2012,ANA,CAR,2012-02-08,Jonas Hiller,W,2,33,31,.939,0,0,62:14
2006,NJD,CAR,2006-05-14,Martin Brodeur,L,3,30,27,.900,0,0,59:19
2006,NJD,CAR,2006-05-14,Empty Net,,1,1,0,.000,0,0,
2009,CBJ,CAR,2009-02-14,Steve Mason,W,1,27,26,.963,0,0,59:56
2002,NJD,CAR,2002-04-21,Martin Brodeur,W,0,16,16,1.000,1,0,59:27
2001,NJD,CAR,2001-04-18,Martin Brodeur,L,3,33,30,.909,0,0,60:40
